序号,项目名称,型号,生产令号,备注,令号年份,添加时间,
1,美国NABORS ZJ30DBS-2,ZJ30DBS,SZ30DBS06023T,,2006,2006-3-1,
2,美国NABORS ZJ30DBS-5,ZJ30DBS,SZ30DBS06024T,,2006,2006-3-1,
3,美国NABORS ZJ30DBS-9,ZJ30DBS,SZ30DBS06025T,,2006,2006-3-1,
4,美国NABORS ZJ30DBS-10,ZJ30DBS,SZ30DBS06026T,,2006,2006-3-1,
5,美国NABORS ZJ30DBS-14,ZJ30DBS,SZ30DBS06027T,,2006,2006-3-1,
6,美国NABORS ZJ30DBS-15,ZJ30DBS,SZ30DBS06028T,,2006,2006-3-1,
7,美国NABORS ZJ30DBS-19,ZJ30DBS,SZ30DBS06029T,,2006,2006-3-1,
8,美国NABORS ZJ30DBS-20,ZJ30DBS,SZ30DBS06030T,,2006,2006-3-1,
9,美国NABORS ZJ30DBS-25,ZJ30DBS,SZ30DBS06031T,,2006,2006-3-1,
10,美国NABORS ZJ30DBS-26,ZJ30DBS,SZ30DBS06032T,,2006,2006-3-1,
11,美国NABORS ZJ30DBS-30,ZJ30DBS,SZ30DBS06033T,,2006,2006-3-1,
12,美国NABORS ZJ30DBS-31,ZJ30DBS,SZ30DBS06083T,,2006,2006-3-1,
13,美国NABORS ZJ30DBS-32,ZJ30DBS,SZ30DBS06084T,,2006,2006-3-1,
14,美国NABORS ZJ30DBS-33,ZJ30DBS,SZ30DBS06085T,,2006,2006-3-1,
15,美国NABORS ZJ30DBS-36,ZJ30DBS,SZ30DBS06085T,,2006,2006-3-1,
16,美国NABORS ZJ30DBS-34,ZJ30DBS,SZ30DBS06086T,,2006,2006-3-1,
17,美国NABORS ZJ30DBS-35,ZJ30DBS,SZ30DBS06087T,,2006,2006-3-1,
18,美国NABORS ZJ30DBS-37,ZJ30DBS,SZ30DBS06089T,,2006,2006-3-1,
19,美国NABORS ZJ30DBS-38,ZJ30DBS,SZ30DBS06090T,,2006,2006-3-1,
20,美国NABORS ZJ30DBS-39,ZJ30DBS,SZ30DBS06091T,,2006,2006-3-1,
21,美国NABORS ZJ30DBS-40,ZJ30DBS,SZ30DBS06092T,,2006,2006-3-1,
22,滇黔桂ZJ70LC,ZJ70LC,SX70LC06004T,,2006,2006-3-1,
23,中原F320-2改造,ZJ70LC,SX70LC06007T,,2006,2006-3-1,
24,西南局ZJ70L钻机改造,ZJ70L,SX70L06008T,,2006,2006-3-1,
25,塔西南勘探开发公司F320改造,ZJ70L,SX70L06009T,,2006,2006-3-1,
26,华东石油管理局F320前台升级改造,ZJ50L,SX50L06010T,,2006,2006-3-1,
27,川西钻探公司ZJ30L,ZJ30L,SZ30L06004T,,2006,2006-3-1,
28,四川石油管理局ZJ50DBS-L钻机（泰国）改造,ZJ50DBS-L,SX50DBS06005T,,2006,2006-3-1,
29,华北油田一公司ZJ50J钻机后场改造,ZJ50J,SX50J06006T,,2006,2006-3-1,
30,阿联酋ZJ10DB,ZJ10DB,SZ10DB06002T,,2006,2006-3-1,
31,中原ZJ70LDB,ZJ70LDB,SZ70LDB06003T,,2006,2006-3-1,
32,川西钻探ZJ40J,ZJ40J,SZ40J06006T,,2006,2006-3-1,
33,川东钻探公司ZJ50L-1,ZJ50L,SZ50L06007T,,2006,2006-3-1,
34,川东钻探公司ZJ50L-2,ZJ50L,SZ50L06008T,,2006,2006-3-1,
35,川西钻探ZJ70L-ZPD,ZJ70L-ZPD,SZ70LDB06009T,,2006,2006-3-1,
36,巴基斯坦ZJ50DBS,ZJ50DBS,SZ50DBST06010T,,2006,2006-3-1,
37,新大陆ZJ40DBST,ZJ40DBST,SZ40DBST06011T,,2006,2006-3-1,
38,阿联酋ZJ70DBS-3,ZJ70DBS,SZ70D06012T,,2006,2006-3-1,
39,阿联酋ZJ70DBS-4,ZJ70DBS,SZ70D06013T,,2006,2006-3-1,
40,新疆石油管理局钻井公司ZJ40J-1,ZJ40J,SZ40J06014T,,2006,2006-3-1,
41,新疆石油管理局钻井公司ZJ40J-2,ZJ40J,SZ40J06015T,,2006,2006-3-1,
42,新疆石油管理局钻井公司ZJ40J-3,ZJ40J,SZ40J06016T,,2006,2006-3-1,
