序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,
1,1200KW电机项目,1200KW,DJ12kW08014,包括3台电机，其中1台用于备用40DBS（教学钻机）SZ40DBS09001T，1台准备配套印尼ZJ70DBS项目（原振华ZJ70DBS-3），另1台备用,2008,2008-3-1,,
2,1000KW电机项目,1000KW,DW1000KW08001,型号：HTB06A，功率：1000KW，数量：3台，编号：0807001,2008,2008-3-1,,
3,1000KW电机项目,1000KW,DW1000KW08002,型号：HTB06A，功率：1000KW，数量：3台，编号：0807002,2008,2008-3-1,,
4,1000KW电机项目,1000KW,DW1000KW08003,型号：HTB06A，功率：1000KW，数量：3台，编号：0807003,2008,2008-3-1,,
5,1000KW电机项目,1000KW,DW1000KW08004,型号：HTB06B，功率：1000KW，数量：1台，编号：0807001,2008,2008-3-1,,
6,电机项目,1000KW,DW1000KW08005,,2008,2008-3-1,,
7,电机项目,1000KW,DW1000KW08006,,2008,2008-3-1,,
8,电机项目,1000KW,DW1000KW08007,,2008,2008-3-1,,
9,电机项目,1000KW,DW1000KW08008,,2008,2008-3-1,,
10,电机项目,1000KW,DW1000KW08009,,2008,2008-3-1,,
11,电机项目,1000KW,DW1000KW08010,,2008,2008-3-1,,
12,电机项目,1000KW,DW1000KW08011,未投单制作,2008,2008-3-1,,
13,电机项目,1000KW,DW1000KW08012,未投单制作,2008,2008-3-1,,
14,电机项目,1000KW,DW1000KW08013,未投单制作,2008,2008-3-1,,
15,900KW电机项目,900KW,DW900KW08001,参展绞车电机，包括2台电机,2008,2008-3-1,,
16,起升控制箱,,HT-0801,,2008,2008-3-1,,
17,双机泵测试系统,,HT-0802,,2008,2008-3-1,,
18,正压防爆产品测试,,HT-0803,,2008,2008-3-1,,
19,俄罗斯发运房1,,HT0804,,2008,2008-3-1,,
20,俄罗斯发运房2,,HT0805,,2008,2008-3-1,,
21,美国NABORS液位控制箱,,HT0806,合同号JZ081576,2008,2008-3-1,,
22,俄罗斯发运房3,,HT0807,,2008,2008-3-1,,
23,俄罗斯发运箱1,,HT0808,,2008,2008-3-1,,
24,风力发电项目,,HT0809,,2008,2008-3-1,,
25,华荣电话系统试验,,HT0810,,2008,2008-3-1,,
26,电气教学装置,,HT0811,,2008,2008-3-1,,
27,印尼90DBS猫道液压站,,HT0812,合同号HTXQ08026。08.12.19商务部开票给友信。,2008,2008-3-1,,
28,崖城PFA ZJ70DBS,ZJ70DBS,HT0813,,2008,2008-3-1,,
29,美国ZJ40DBST液压站控制箱,,HT0814,2008-12-3送广汉,2008,2008-3-1,,
30,直驱式绞车电机研制,,HT0815,项目编号HTK08-03,2008,2008-3-1,,
31,HTB13变频调速异步电动机,HTB13,HT0816,项目编号HTK08-04，DQ70BZ顶驱直驱电机2台。（091201接到商务合同JZ092805，此2台电机配套SBDQ70DB09072-73项目）,2008,2008-3-1,,
32,DBS钻机无线传感器网络研究及应用,,HT0817,项目编号HTK08-06,2008,2008-3-1,,
33,有源动态滤波装置系统研制,,HT0818,项目编号HTK08-08,2008,2008-3-1,,
