序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,
1,HTB03型变频调速异步电动机-1,HTB03,DJ0030001,,2010,2010-3-1,,,,,
2,HTB04型变频调速异步电动机-1,HTB04,DJ0040001,2010-7-2商务部（2010）第（00296）号》商务合同号：JZ101468，用于配套SZ90DBS09016项目（陆地ZJ90DBS项目行星绞车）,2010,2010-3-1,,,,,
3,HTB06型变频调速异步电动机-1,HTB06,DJ0060001,,2010,2010-3-1,,,,,
4,HTB06型变频调速异步电动机-2,HTB06,DJ0060002,,2010,2010-3-1,,,,,
5,HTB19型变频调速异步电动机-4,HTB19,DJ0190004,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09111顶驱系统,2010,2010-3-1,,,,,
6,HTB19型变频调速异步电动机-5,HTB19,DJ0190005,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09112顶驱系统,2010,2010-3-1,,,,,
7,HTB19型变频调速异步电动机-6,HTB19,DJ0190006,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09180顶驱系统,2010,2010-3-1,,,,,
8,HTB19型变频调速异步电动机-7,HTB19,DJ0190007,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09181顶驱系统,2010,2010-3-1,,,,,
9,HTB19型变频调速异步电动机-8,HTB19,DJ0190008,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
10,HTB19型变频调速异步电动机-9,HTB19,DJ0190009,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
11,HTB19型变频调速异步电动机-10,HTB19,DJ0190010,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
12,HTB02B型变频调速异步电动机-1,HTB02B,DJ02B0001,准备配套印尼ZJ70DBS项目（原振华ZJ70DBS-3）,2010,2010-3-1,,,,,
13,HTB02B型变频调速异步电动机-2,HTB02B,DJ02B0002,准备配套缅甸ZJ70DBS项目,2010,2010-3-1,,,,,
14,HTB03A型变频调速异步电动机-1,HTB03A,DJ03A0001,,2010,2010-3-1,,,,,
15,HTB04A型变频调速异步电动机-1,HTB04A,DJ04A0001,2010-7-2商务部（2010）第（00296）号》商务合同号：JZ101468，用于配套SZ90DBS09016项目,2010,2010-3-1,,,,,
16,HTB05型变频调速异步电动机-1,HTB05,DJ0050001,2010.12.02张鹏《DJ-GZ2010-0171》增加2台,2010,2010-12-6,,,,,
17,HTB05型变频调速异步电动机-2,HTB05,DJ0050002,2010.12.02张鹏《DJ-GZ2010-0171》增加2台,2010,2010-12-6,,,,,
18,HTB05型变频调速异步电动机-3,HTB05,DJ0050003,备用,2010,2010-12-6,,,,,
19,HTB05型变频调速异步电动机-4,HTB05,DJ0050004,备用,2010,2010-12-6,,,,,
20,HTB05型变频调速异步电动机-5,HTB05,DJ0050005,备用,2010,2010-12-6,,,,,
21,HTB05型变频调速异步电动机-6,HTB05,DJ0050006,备用,2010,2010-12-6,,,,,
22,HTB05型变频调速异步电动机-7,HTB05,DJ0050007,备用,2010,2010-12-6,,,,,
23,HTB05型变频调速异步电动机-8,HTB05,DJ0050008,备用,2010,2010-12-6,,,,,
24,HTB05A型变频调速异步电动机-1,HTB05A,DJ05A0001,合同号：KJS10656，2010-9-8交科贸陈刚，新发货单编号：（第5本）0000152号，发往美国试验,2010,2010-3-1,,,,,
25,HTB05A型变频调速异步电动机-2,HTB05A,DJ05A0002,合同号：KJS10656，2010-9-8交科贸陈刚，新发货单编号：（第5本）0000152号,2010,2010-3-1,,,,,
26,HTB05A型变频调速异步电动机-3,HTB05A,DJ05A0003,准备配套印尼ZJ70DBS项目（原振华ZJ70DBS-3），100913接到商务合同JZ102369,2010,2010-3-1,,,,,
27,HTB05A型变频调速异步电动机-4,HTB05A,DJ05A0004,准备配套印尼ZJ70DBS项目（原振华ZJ70DBS-3），100913接到商务合同JZ102369,2010,2010-3-1,,,,,
28,HTB06A型变频调速异步电动机-1,HTB06A,DJ06A0001,准备配套印尼ZJ70DBS项目（原振华ZJ70DBS-3）,2010,2010-3-1,,,,,
29,HTB06A型变频调速异步电动机-2,HTB06A,DJ06A0002,准备配套印尼ZJ70DBS项目（原振华ZJ70DBS-3）,2010,2010-3-1,,,,,
30,HTB13型变频调速异步电动机-1,HTB13,DJ0130001,2010-6-7《商务部（2010）第（00244）号》，宏华采购订单号：10003790，宏华生产订单号：10006010。配套DQ70BZ直驱顶驱-1（HT10031）,2010,2010-6-7,,,,,
