序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,,,,
1,川西电机维修2011,,HT11001,2010-12-28《商务部（2010）第（00846）号》,2011,2010-12-30,集团外,,,,,,,
2,中海油流花改造,,HT11002,2011-01-25《商务部（2011）第（00025）号》，约定交货期为2011.9.25前。2011-1-25《总调度室（2011）第（00117）号》，合同号：JZ112876\HTXQ11035\JZ112875\HTXQ11016,2011,2011-1-25,集团外,商务部负责人：杨凡波,总调室负责人：江强,供应部负责人：李枫,生产部负责人：罗来军,质量部负责人：俞萃,技术部负责人：张海,
3,低温备用ZJ70DBS-1,ZJ70DBS,HT11003,准备用在阿拉斯加项目（未启动）,2011,2011-1-26,,,,,,,,
4,低温备用ZJ70DBS-2,ZJ70DBS,HT11004,准备用在捷乌项目（只启动了VFD房底盘，吉立未制作）,2011,2011-1-26,,,,,,,,
5,低温备用ZJ70DBS-3,ZJ70DBS,HT11005,准备用在捷乌项目（只启动了VFD房底盘，吉立未制作）,2011,2011-1-26,,,,,,,,
6,胜利油田西南公司ZJ70DB钻机制动单元改造,,HT11006,2011-01-28《商务部（2011）第（00036）号》，2011-2-11《总调度室（2011）第（00167）号》,2011,2011-2-6,集团外,,,,,,,
7,捷乌ZJ30T-1（补充）,ZJ30T,HT11007,原项目号：X10010224。从任世德处得到信息该项目已开票，新产生令号以便采购和领料.2011-02-09《商务部（2011）第（00037）号》，2011-03-23《商务部（2011）第（11159）号》合同JZ110803,2011,2011-2-11,,,总调室负责人：刘俊,,,,,
8,捷乌ZJ30T-2（补充）,ZJ30T,HT11008,原项目号：X10017224。从任世德处得到信息该项目已开票，新产生令号以便采购和领料.2011-02-09《商务部（2011）第（00037）号》，2011-03-23《商务部（2011）第（11159）号》合同JZ110804,2011,2011-2-11,,,总调室负责人：刘俊,,,,,
9,捷乌土库曼ZJ70DBS-1,ZJ70DBS,HT11009,由原捷乌ZJ70DBS列车钻机-2（HT10016）进行改制，因已结算所以产生新令号。2011-02-17《总调度室（2011）第（00185）号》,2011,2011-2-17,,技术部负责人：黄川,总调室负责人：张凤军,,,,,
10,缅甸电话系统,,HT11010,2011-01-28《商务部（2011）第（00032）号》，2011-02-23《总调度室（2011）第（00211）号》,2011,2011-2-23,,,总调室负责人：江强,,,,,
11,备用ZJ70D-3（阿塞拜疆ZJ50D-1）,ZJ70D,HT11011,2011-02-24《总调度室（2011）第（00224）号》，2011-03-08《总调度室（2011）第（00298）号》，2011-04-11《商务部（2011）第（00182）号》，2011-04-13《总调度室（2011）第（00425）号》，2011-04-18《总调度室（2011）第（00452）号》，2011-11-18《总调度室（2011）第（01287）号》，2012-04-28《总调度室（2011）第（00512）号》，2012-4-28《商务部（2012）第（0428316）号》，HH令号X12063214.2012-7-11《商务部（2012）第（0711）号》合同号：JZ123631,2011,2011-2-24,序列号已编制,技术部负责人：设计二室 王亮,总调室负责人：张凤军,,,,,
