序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,
1,泰国6点视频系统,,HT12001,2012-1-16《商务部（2012）第（00001）号》，2012-1-16《总调度室（2012）第（00044）号》,2012,2012-1-13,,,,
2,俄罗斯6点视频系统（低温）-1,,HT12002,2012-1-19《商务部（2012）第（00017）号》，2012-1-19《总调度室（2012）第（00059）号》2套要求2012-3-5交付，2012-1-31把材料清单交供应部。2012-1-31《总调度室（2012）第（00084）号》，2012-1-31《商务部（2012）第（00023）号》,2012,2012-1-26,,,调度负责人：羊慕倪,
3,CCC认证柜体-2,,HT12003,2012-1-31《总调度室（2012）第（00084）号》，2012-1-30《质量部（2012）第（00062）号》,2012,2012-1-30,,,调度负责人：羊慕倪,
4,SLB增加电话系统整改,,HT12004,2012-2-8《商务部（2012）第（00036）号》，2012-2-9《总调度室（2012）第（00122）号》,2012,2012-2-6,,技术负责人：房顺林,调度负责人：江强,
5,SD ZJ70DBS电机整改,,HT12005,2012-1-31《设备配件班GYB-ZYTR008》，2012-2-14《电机部（2012）第（00043）号》,2012,2012-2-10,,,调度负责人：江强,
6,2012备用ZJ70DBS-1（川庆ZJ80DBS-2）,ZJ70DBS,HT12006,2012-2-14《总调度室（2012）第（00133）号》，2012-04-26《商务部（2012）第（0426400）号》，2012-5-10《总调度室（2012）第（00555）号》HH令号:X12062250，2012-09-10《商务部（2012）第（0910）号》合同号JZ125211,2012,2012-2-14,序列号已编制,,调度负责人：温泉,
7,2012备用ZJ70DBS-2,ZJ70DBS,HT12007,2012-2-14《总调度室（2012）第（00133）号》,2012,2012-2-14,,,调度负责人：温泉,
8,2012备用ZJ70DBS-3,ZJ70DBS,HT12008,2012-2-14《总调度室（2012）第（00133）号》,2012,2012-2-14,,,调度负责人：温泉,
9,捷乌70顶驱HTB13电机定子,HTB13,HT12009,2012-2-21《电机部（2012）第（00046）号》,2012,2012-2-21,,,,
10,海隆ZJ50DBS发电机控制及泥浆泵VFD改造,,HT12010W,2012-2-21《商务部（2012）第（00128）号》，2012-2-28《总调度室（2012）第（00185）号》,2012,2012-2-22,集团外,,调度负责人：温泉,
11,塔二堪ZJ70LDB-2液压站控制箱,,HT12011,2012-2-21《商务部（2012）第（00161）号》，配套HT11051。总调室原批注生产令号需更正！,2012,2012-2-29,,,调度负责人：羊慕倪,
12,捷乌40-2顶驱更换,,HT12012,2012-2-28《商务部（2012）第（00173）号》，2012-2-28《总调度室（2012）第（00185）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124330,2012,2012-2-29,,,,
13,捷乌ZJ40DBS-2顶驱（更换）,,HT12033,2012-2-28《商务部（2012）第（00173）号》。2012-5-7《总调度室（2012）第（00536）号》，2012-5-18发现与HT12012重复，予以取消,2012,2012-5-7,,,,
14,哥伦比亚ZJ40DBST补做司钻房项目,,HT12013,2012-2-29《总调度室（2012）第（00193）号》，2012-2-29《商务部（2012）第（00179）号》，2012-3-19《总调度室（2012）第（00203）号》，2012-3-27《商务部（2012）第（00272）号》JZ121572,2012,2012-2-29,,,调度负责人：江强,
